id,folder,publisher,type,title,url,use
01,02_Productivity-Demography-And-Adoption,Bank of Korea,official,Rapid Adoption of Artificial Intelligence and Its Productivity Effects: The Case of Korea,https://www.bok.or.kr/eng/bbs/B0000354/view.do?nttId=10094689&menuNo=400409&relate=Y&depth=400409&programType=newsDataEng,韩国为何快速采用生成式AI；生产率逻辑
02,02_Productivity-Demography-And-Adoption,OECD,international-org,Artificial Intelligence and the Labour Market in Korea,https://www.oecd.org/en/publications/artificial-intelligence-and-the-labour-market-in-korea_68ab1a5a-en/full-report/the-impact-of-ai-on-the-labour-market_69793977.html,AI与老龄化、劳动力和增长压力
03,02_Productivity-Demography-And-Adoption,RIETI,research,Demographic Change and Korea's Growth Prospects: The Role of AI,https://www.rieti.go.jp/en/events/bbl/26030601.html,人口结构变化与AI增长逻辑
04,03_US-AI-Ecosystem-Integration,AP,media,OpenAI announces partnerships with South Korean chip giants over Stargate project,https://apnews.com/article/south-korea-openai-samsung-sk-stargate-a65fd1a21a8587c991cc30b94b1dfe89,韩国进入美国AI基础设施链
05,03_US-AI-Ecosystem-Integration,OpenAI,official-corporate,AI in South Korea: OpenAI's Economic Blueprint,https://openai.com/index/south-korea-economic-blueprint/,企业如何理解韩国的战略位置
06,03_US-AI-Ecosystem-Integration,OpenAI,official-corporate,Samsung and SK join OpenAI's Stargate initiative,https://openai.com/index/samsung-and-sk-join-stargate/,基础设施合作
07,04_Governance-AI-Basic-Act-And-Regulation,Reuters,media,"South Korea launches landmark laws to regulate AI, startups warn of compliance burdens",https://www.reuters.com/world/asia-pacific/south-korea-launches-landmark-laws-regulate-ai-startups-warn-compliance-burdens-2026-01-22/,法案生效与争议
08,04_Governance-AI-Basic-Act-And-Regulation,CSET,research,Framework Act on the Development of Artificial Intelligence and Establishment of Trust,https://cset.georgetown.edu/publication/south-korea-ai-law-2025/,AI法结构解读
09,04_Governance-AI-Basic-Act-And-Regulation,AI Basic Act Explorer,law-reference,AI Basic Act Explorer,https://aibasicact.kr/explorer/,查条文与关键词
10,04_Governance-AI-Basic-Act-And-Regulation,Korea.net,official,AI Basic Act takes effect as world's first set of laws for AI,https://www.korea.net/NewsFocus/policies/view?articleId=286183,韩国政府自我叙述
11,05_Sovereign-AI-And-Strategic-Autonomy,Korea.net,official,Sovereign AI Foundation Model project,https://www.korea.net/Government/Briefing-Room/Press-Releases/view?articleId=8189&type=O&insttCode=A110439,主权AI项目
12,05_Sovereign-AI-And-Strategic-Autonomy,East Asia Forum,analysis,South Korea's AI revolution is forcing a US-China balancing act,https://eastasiaforum.org/2026/01/17/south-koreas-ai-revolution-is-forcing-a-us-china-balancing-act/,连接到地缘政治
13,05_Sovereign-AI-And-Strategic-Autonomy,ACM,academic,Beyond Claiming Sovereign AI,https://dl.acm.org/doi/10.1145/3772318.3790666,主权AI的学术化表达
14,05_Sovereign-AI-And-Strategic-Autonomy,Cooley,legal-analysis,South Korea's AI Basic Act: Overview and Key Takeaways,https://www.cooley.com/news/insight/2026/2026-01-27-south-koreas-ai-basic-act-overview-and-key-takeaways,解释domestic representative
15,06_Education-Labor-And-Skills,Korea JoongAng Daily,media,Education Ministry to roll out mandatory AI courses at universities,https://koreajoongangdaily.joins.com/news/2026-02-23/national/socialAffairs/Education-Ministry-to-roll-out-mandatory-AI-courses-at-universities/2529503,教育制度回应
16,06_Education-Labor-And-Skills,Times Higher Education,analysis,South Korea's universities can't drive its AI transition without better policy,https://www.timeshighereducation.com/opinion/south-koreas-universities-cant-drive-its-ai-transition-without-better-policy,高校制度转型
